,Var1,Var2,value
547,Acetic.Acid,Acetic.Acid,1
3914,adolescentis,adolescentis,1
2276,aMCA,aMCA,1
1457,animalis.animalis,animalis.animalis,1
1639,bifidum,bifidum,1
183,bMCA,bMCA,1
1093,breve,breve,1
5097,Butyric.Acid,Butyric.Acid,1
274,CA,CA,1
3823,CA.3OH.S,CA.3OH.S,1
4096,Caproic.acid,Caproic.acid,1
8009,CDCA,CDCA,1
729,CDCA.3OH.S,CDCA.3OH.S,1
456,DCA,DCA,1
3550,DCA.3OH.S,DCA.3OH.S,1
1,DHCA,DHCA,1
6280,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore...liveOil,1
7645,FoodGroupIntakeScore.Alcohol,FoodGroupIntakeScore.Alcohol,1
7735,FoodGroupIntakeScore.Alcohol,FoodGroupIntakeScore.Sauces,1
365,FoodGroupIntakeScore.CoffeTea,FoodGroupIntakeScore.CoffeTea,1
6917,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.ColdCuts,1
7827,FoodGroupIntakeScore.DietSoftDrinks,FoodGroupIntakeScore.DietSoftDrinks,1
1366,FoodGroupIntakeScore.Eggs,FoodGroupIntakeScore.Eggs,1
7281,FoodGroupIntakeScore.Fish,FoodGroupIntakeScore.Fish,1
5825,FoodGroupIntakeScore.FruitJuices,FoodGroupIntakeScore.FruitJuices,1
7099,FoodGroupIntakeScore.Fruits,FoodGroupIntakeScore.Fruits,1
5006,FoodGroupIntakeScore.FullFatDairyProducts,FoodGroupIntakeScore.FullFatDairyProducts,1
5279,FoodGroupIntakeScore.Legumes,FoodGroupIntakeScore.Legumes,1
638,FoodGroupIntakeScore.LowFatDairyProducts,FoodGroupIntakeScore.LowFatDairyProducts,1
2185,FoodGroupIntakeScore.NonRefinedCereals,FoodGroupIntakeScore.NonRefinedCereals,1
2640,FoodGroupIntakeScore.Nuts,FoodGroupIntakeScore.Nuts,1
4369,FoodGroupIntakeScore.Olives,FoodGroupIntakeScore.Olives,1
5188,FoodGroupIntakeScore.Potatoes,FoodGroupIntakeScore.Potatoes,1
5370,FoodGroupIntakeScore.Poultry,FoodGroupIntakeScore.Poultry,1
6826,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.RedMeatAndProducts,1
6462,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.RefinedCereals,1
7463,FoodGroupIntakeScore.RegularSoftDrinks,FoodGroupIntakeScore.RegularSoftDrinks,1
5734,FoodGroupIntakeScore.SaltySnacks,FoodGroupIntakeScore.SaltySnacks,1
7646,FoodGroupIntakeScore.Sauces,FoodGroupIntakeScore.Alcohol,1
7736,FoodGroupIntakeScore.Sauces,FoodGroupIntakeScore.Sauces,1
6007,FoodGroupIntakeScore.Sweeteners,FoodGroupIntakeScore.Sweeteners,1
6553,FoodGroupIntakeScore.Sweets,FoodGroupIntakeScore.Sweets,1
7554,FoodGroupIntakeScore.TotalSoftDrinks,FoodGroupIntakeScore.TotalSoftDrinks,1
6371,FoodGroupIntakeScore.VegetableOils,FoodGroupIntakeScore.VegetableOils,1
7008,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.Vegetables,1
820,GCA,GCA,1
2367,GCA.3OH.S,GCA.3OH.S,1
2822,GCDCA,GCDCA,1
1548,GDCA,GDCA,1
1821,GDHCA,GDHCA,1
